points - Plot 0	fluorescence (V) - Plot 0
100	0.145575
105	0.152602
110	0.16195
115	0.187029
120	0.183161
125	0.169493
130	0.225484
135	0.202243
140	0.224421
145	0.186223
150	0.222067
155	0.273417
160	0.256171
165	0.253367
170	0.224646
175	0.227418
180	0.254076
185	0.244793
190	0.268291
195	0.292596
200	0.288728
205	0.299108
210	0.31674
215	0.359482
220	0.312549
225	0.334759
230	0.363286
235	0.342463
240	0.351037
245	0.381982
250	0.370539
255	0.349586
260	0.379178
265	0.395488
270	0.393844
275	0.416763
280	0.42927
285	0.409284
290	0.416795
295	0.471465
300	0.408414
305	0.447901
310	0.451576
315	0.4401
320	0.461794
325	0.509275
330	0.478621
335	0.475107
340	0.496478
345	0.49693
350	0.508437
355	0.525006
360	0.495608
365	0.535224
370	0.484197
375	0.513627
380	0.557627
385	0.542864
390	0.510049
395	0.582189
400	0.54599
405	0.59734
410	0.571423
415	0.540317
420	0.563945
425	0.590764
430	0.564976
435	0.592762
440	0.601304
445	0.596501
450	0.616358
455	0.610523
460	0.642339
465	0.639276
470	0.614198
475	0.648399
480	0.643402
485	0.675733
490	0.606397
495	0.652009
500	0.659068
505	0.688111
510	0.678506
515	0.682374
520	0.677506
525	0.667062
530	0.702391
535	0.678377
540	0.688402
545	0.729436
550	0.691399
555	0.748551
560	0.726986
565	0.686371
570	0.750453
575	0.714479
580	0.778497
585	0.724214
590	0.753579
595	0.758318
600	0.752419
605	0.732563
610	0.75042
615	0.784653
620	0.760123
625	0.800738
630	0.776272
635	0.797579
640	0.791616
645	0.812729
650	0.833424
655	0.847381
660	0.80177
665	0.825559
670	0.831329
675	0.830007
680	0.807217
685	0.872363
690	0.862789
695	0.841031
700	0.844126
705	0.834874
710	0.830619
715	0.836937
720	0.890092
725	0.844545
730	0.859727
735	0.907305
740	0.876328
745	0.886191
750	0.91301
755	0.89396
760	0.909787
765	0.894379
770	0.896539
775	0.878939
780	0.908046
785	0.929257
790	0.924647
795	0.993886
800	0.951402
805	0.905661
810	0.94676
815	0.971709
820	0.978156
825	0.9622
830	0.983185
835	0.974191
840	0.948275
845	0.920424
850	0.991985
855	0.969356
860	0.977834
865	1.01123
870	0.987988
875	0.96336
880	1.00652
885	1.00588
890	0.977092
895	1.00559
900	0.98196
905	1.01819
910	1.01987
915	1.01429
920	1.02029
925	1.05055
930	1.04675
935	1.0228
940	1.06329
945	1.05346
950	0.997464
955	1.04375
960	1.02174
965	1.02206
970	1.0696
975	1.04711
980	1.05661
985	1.07296
990	1.07747
995	1.07044
1000	1.09723
1005	1.10068
1010	1.08911
1015	1.10951
1020	1.06951
1025	1.09862
1030	1.13185
1035	1.1226
1040	1.08656
1045	1.12008
1050	1.15909
1055	1.10516
1060	1.1097
1065	1.20492
1070	1.1205
1075	1.15258
1080	1.13872
1085	1.16624
1090	1.10526
1095	1.11651
1100	1.14397
1105	1.13891
1110	1.12776
1115	1.12495
1120	1.12444
1125	1.18839
1130	1.16018
1135	1.15022
1140	1.14332
1145	1.16373
1150	1.15209
1155	1.20496
1160	1.14207
1165	1.19558
1170	1.19342
1175	1.21592
1180	1.1967
1185	1.21424
1190	1.18591
1195	1.23394
1200	1.17034
1205	1.21443
1210	1.20544
1215	1.17353
1220	1.2017
1225	1.22046
1230	1.2038
1235	1.21708
1240	1.25205
1245	1.24038
1250	1.22082
1255	1.19358
1260	1.2281
1265	1.19132
1270	1.2486
1275	1.22971
1280	1.21991
1285	1.2439
1290	1.23055
1295	1.25943
1300	1.24531
1305	1.30005
1310	1.24019
1315	1.2537
1320	1.22688
